id,symbol,date,monthly_open,monthly_high,monthly_low,monthly_volume
19903,MSFT,2022-09-30,258.87,267.45,232.73,575416752
19904,MSFT,2022-08-31,277.82,294.18,260.66,476959033
19905,MSFT,2022-07-29,256.39,282.0,245.94,534986150
19906,MSFT,2022-06-30,275.195,277.69,241.51,621501474
19907,MSFT,2022-05-31,277.71,290.88,246.44,742766114
19908,MSFT,2022-04-29,309.37,315.11,270.0,622644983
19909,MSFT,2022-03-31,296.4,315.95,270.0,732627846
19910,MSFT,2022-02-28,310.41,315.12,271.52,697204843
19911,MSFT,2022-01-31,335.35,338.0,276.05,946705316
19912,MSFT,2021-12-31,335.13,344.3,317.25,625743806
19913,MSFT,2021-11-30,331.355,349.67,326.37,507120518
19914,MSFT,2021-10-29,282.1217,332.0,280.25,516523658
19915,MSFT,2021-09-30,302.865,305.32,281.62,502931199
19916,MSFT,2021-08-31,286.36,305.84,283.74,440360333
19917,MSFT,2021-07-30,269.61,290.15,269.6,522303043
19918,MSFT,2021-06-30,251.23,271.65,243.0,508388858
19919,MSFT,2021-05-28,253.4,254.35,238.07,495089530
19920,MSFT,2021-04-30,238.47,263.19,238.0501,568698272
19921,MSFT,2021-03-31,235.9,241.05,224.26,724981506
19922,MSFT,2021-02-26,235.06,246.13,227.88,489396912
19923,MSFT,2021-01-29,222.53,242.64,211.94,647897096
19924,MSFT,2020-12-31,214.51,227.18,209.11,593966967
19925,MSFT,2020-11-30,204.29,228.12,200.12,573325190
19926,MSFT,2020-10-30,213.49,225.21,199.62,631674298
19927,MSFT,2020-09-30,225.51,232.86,196.25,768528897
19928,MSFT,2020-08-31,211.52,231.15,203.14,692382980
19929,MSFT,2020-07-31,203.14,216.38,197.51,769842002
19930,MSFT,2020-06-30,182.54,204.4,181.35,765012029
19931,MSFT,2020-05-29,175.8,187.51,173.8,688873081
19932,MSFT,2020-04-30,153.0,180.4,150.36,984810925
19933,MSFT,2020-03-31,165.31,175.0,132.52,1612954386
19934,MSFT,2020-02-28,170.43,190.7,152.0,887894931
19935,MSFT,2020-01-31,158.78,174.05,156.51,555989763
19936,MSFT,2019-12-31,151.81,159.55,146.65,452664147
19937,MSFT,2019-11-29,144.26,152.5,142.97,393028043
19938,MSFT,2019-10-31,139.66,145.67,133.22,560654410
19939,MSFT,2019-09-30,136.61,142.37,134.51,477645820
19940,MSFT,2019-08-30,137.0,140.94,130.78,585509525
19941,MSFT,2019-07-31,136.63,141.68,134.67,484553299
19942,MSFT,2019-06-28,123.85,138.4,119.01,508324437
19943,MSFT,2019-05-31,130.53,130.65,123.04,547218448
19944,MSFT,2019-04-30,118.95,131.37,118.1,433157868
19945,MSFT,2019-03-29,112.89,120.82,108.8,589045341
19946,MSFT,2019-02-28,103.78,113.24,102.35,469095970
19947,MSFT,2019-01-31,99.55,107.9,97.2,714204787
19948,MSFT,2018-12-31,113.0,113.42,93.96,944287635
19949,MSFT,2018-11-30,107.05,112.24,99.35,720228643
19950,MSFT,2018-10-31,114.75,116.18,100.11,927547942
19951,MSFT,2018-09-28,110.85,115.29,107.23,480255674
19952,MSFT,2018-08-31,106.03,112.78,104.84,456630721
19953,MSFT,2018-07-31,98.1,111.15,98.0,569501573
19954,MSFT,2018-06-29,99.28,102.69,97.26,602585341
19955,MSFT,2018-05-31,93.21,99.99,92.45,509418119
19956,MSFT,2018-04-30,90.47,97.9,87.51,668258570
19957,MSFT,2018-03-29,93.99,97.24,87.08,732866406
19958,MSFT,2018-02-28,94.79,96.07,83.83,690287596
19959,MSFT,2018-01-31,86.13,95.45,85.5,543377322
19960,MSFT,2017-12-29,83.6,87.4999,80.7,447828256
19961,MSFT,2017-11-30,83.68,85.06,82.24,415711970
19962,MSFT,2017-10-31,74.71,86.2,73.71,440510118
19963,MSFT,2017-09-29,74.71,75.97,72.92,367134396
19964,MSFT,2017-08-31,73.1,74.96,71.28,429156682
19965,MSFT,2017-07-31,69.33,74.42,68.02,451248934
19966,MSFT,2017-06-30,70.24,72.89,68.09,610120893
19967,MSFT,2017-05-31,68.68,70.74,67.14,505249296
19968,MSFT,2017-04-28,65.81,69.14,64.85,428857613
19969,MSFT,2017-03-31,64.13,66.19,63.62,489173200
19970,MSFT,2017-02-28,64.355,65.24,62.75,440744043
19971,MSFT,2017-01-31,62.79,65.91,61.95,494435826
19972,MSFT,2016-12-30,60.11,64.1,58.8,513579428
19973,MSFT,2016-11-30,59.97,61.41,57.28,613056964
19974,MSFT,2016-10-31,57.405,61.3699,56.315,614841775
19975,MSFT,2016-09-30,57.01,58.19,55.61,526855083
19976,MSFT,2016-08-31,56.6,58.7,56.14,467079004
19977,MSFT,2016-07-29,51.13,57.29,50.39,647587634
19978,MSFT,2016-06-30,52.44,52.95,48.035,823987498
19979,MSFT,2016-05-31,50.0,53.0,49.46,530869347
19980,MSFT,2016-04-29,55.05,56.77,49.35,699025640
19981,MSFT,2016-03-31,50.97,55.64,50.58,640372350
19982,MSFT,2016-02-29,54.88,55.09,48.19,814770780
19983,MSFT,2016-01-29,54.32,55.39,49.1,927914485
19984,MSFT,2015-12-31,54.41,56.85,53.68,793070000
19985,MSFT,2015-11-30,52.85,54.98,52.53,662622220
19986,MSFT,2015-10-30,44.75,54.37,43.75,857330655
19987,MSFT,2015-09-30,42.23,45.0,41.66,670779566
19988,MSFT,2015-08-31,46.98,48.41,39.72,776277394
19989,MSFT,2015-07-31,44.46,47.4,43.32,725458102
19990,MSFT,2015-06-30,47.06,47.77,43.94,664853340
19991,MSFT,2015-05-29,48.58,48.905,46.02,633072750
19992,MSFT,2015-04-30,40.6,49.54,40.12,874535095
19993,MSFT,2015-03-31,43.67,44.19,40.54,824335340
19994,MSFT,2015-02-27,40.59,44.3,40.23,656509827
19995,MSFT,2015-01-30,46.66,47.91,40.35,918738022
19996,MSFT,2014-12-31,47.88,49.06,44.9,626810606
19997,MSFT,2014-11-28,46.89,50.045,46.73,523008240
19998,MSFT,2014-10-31,46.27,46.97,42.1,853297059
19999,MSFT,2014-09-30,45.43,47.57,44.53,860084532
20000,MSFT,2014-08-29,43.21,45.47,42.21,513429400
20001,MSFT,2014-07-31,41.86,45.71,41.05,731616500
20002,MSFT,2014-06-30,40.95,42.29,39.86,555779700
20003,MSFT,2014-05-30,40.2401,40.97,38.51,574362900
20004,MSFT,2014-04-30,41.15,41.66,38.9,746113500
20005,MSFT,2014-03-31,37.92,41.5,37.495,778425700
20006,MSFT,2014-02-28,37.74,38.46,35.69,705304500
20007,MSFT,2014-01-31,37.35,37.89,34.63,930226200
20008,MSFT,2013-12-31,38.09,38.98,35.53,826617700
20009,MSFT,2013-11-29,35.67,38.29,35.39,800431600
20010,MSFT,2013-10-31,33.35,36.29,32.8,965331500
20011,MSFT,2013-09-30,31.75,33.75,30.95,1242961500
20012,MSFT,2013-08-30,32.06,35.2,30.84,1051265000
20013,MSFT,2013-07-31,34.75,36.4299,31.02,1111130600
20014,MSFT,2013-06-28,34.92,35.78,32.57,945155500
20015,MSFT,2013-05-31,32.93,35.28,32.32,1071860000
20016,MSFT,2013-04-30,28.64,33.11,28.11,1322883228
20017,MSFT,2013-03-28,27.72,28.66,27.52,844946000
20018,MSFT,2013-02-28,27.67,28.2,27.1,780587000
20019,MSFT,2013-01-31,27.25,28.23,26.28,1145054400
20020,MSFT,2012-12-31,26.78,27.73,26.26,947310900
20021,MSFT,2012-11-30,28.84,30.2,26.3449,1310516100
20022,MSFT,2012-10-31,29.81,30.25,27.76,1105402300
20023,MSFT,2012-09-28,30.45,31.61,29.74,893107700
20024,MSFT,2012-08-31,29.59,30.96,28.97,671748400
20025,MSFT,2012-07-31,30.62,31.05,28.54,846604100
20026,MSFT,2012-06-29,28.76,31.14,28.32,973131400
20027,MSFT,2012-05-31,32.05,32.335,28.64,1014372600
20028,MSFT,2012-04-30,32.22,32.89,30.23,940739700
20029,MSFT,2012-03-30,31.93,32.95,31.49,942366500
20030,MSFT,2012-02-29,29.79,32.0,29.71,984332300
20031,MSFT,2012-01-31,26.55,29.95,26.39,1354858100
20032,MSFT,2011-12-30,25.56,26.19,25.16,1007166600
20033,MSFT,2011-11-30,26.19,27.2,24.3,1046207400
20034,MSFT,2011-10-31,24.72,27.5,24.26,1218142500
20035,MSFT,2011-09-30,26.46,27.5,24.6,1279920200
20036,MSFT,2011-08-31,27.51,27.685,23.79,1719339500
20037,MSFT,2011-07-29,25.93,28.145,25.84,1259328200
20038,MSFT,2011-06-30,24.99,26.0,23.65,1297757600
20039,MSFT,2011-05-31,25.94,26.25,24.03,1364062800
20040,MSFT,2011-04-29,25.53,26.87,24.72,1313844800
20041,MSFT,2011-03-31,26.6,26.78,24.68,1310885200
20042,MSFT,2011-02-28,27.8,28.34,26.43,1114368500
20043,MSFT,2011-01-31,28.05,29.46,27.42,1361258700
20044,MSFT,2010-12-31,25.57,28.4,25.56,1033710000
20045,MSFT,2010-11-30,26.88,27.49,24.93,1361176300
20046,MSFT,2010-10-29,24.49,27.2,23.78,1281432800
20047,MSFT,2010-09-30,23.67,25.53,23.54,1273139500
20048,MSFT,2010-08-31,25.99,26.38,23.32,1279372100
20049,MSFT,2010-07-30,23.09,26.41,22.73,1408590600
20050,MSFT,2010-06-30,25.53,26.93,22.95,1671811600
20051,MSFT,2010-05-28,30.67,31.0606,24.56,1720130200
20052,MSFT,2010-04-30,29.35,31.58,28.62,1319029500
20053,MSFT,2010-03-31,28.77,30.57,28.24,1110237200
